자사, 40, 145
가자, 97, 147
나바, 74, 184
자바, 55, 166
나아, 75, 169
아자, 59, 194
가파, 57, 147
마파, 71, 180
파하, 83, 183
나다, 49, 162
가아, 45, 185
타하, 56, 140
다나, 68, 141
자바, 56, 149
차차, 64, 170
파라, 65, 198
다라, 75, 146
아바, 45, 178
하다, 51, 167
카차, 91, 182
파카, 72, 155
카차, 77, 181
파라, 48, 173
라바, 75, 171
차타, 97, 180
타나, 82, 176
파바, 63, 156
자가, 49, 152
라하, 47, 164
하다, 44, 156
다바, 82, 192
타하, 42, 163
다나, 90, 198
다바, 41, 199
아아, 77, 151
라카, 93, 187
가가, 59, 181
마가, 98, 193
바다, 63, 198
타다, 71, 175
다나, 75, 154
파파, 77, 153
나가, 85, 185
하라, 43, 162
마바, 87, 165
하차, 95, 180
라라, 88, 178
카가, 50, 194
바하, 81, 164
자나, 66, 183
가파, 99, 183
사자, 64, 178
가라, 44, 197
가라, 53, 185
카사, 53, 188
차사, 80, 140
파자, 46, 142
다자, 84, 164
차라, 65, 189
차라, 66, 145
바라, 46, 194
자파, 45, 160
다라, 64, 167
카파, 70, 169
마파, 69, 151
차차, 51, 176
나바, 52, 179
차타, 98, 155
아하, 82, 163
바하, 52, 185
가카, 92, 143
마카, 70, 154
마하, 69, 183
타카, 55, 172
아차, 50, 140
가다, 79, 166
차나, 66, 160
하하, 43, 180
타라, 56, 140
차파, 80, 198
타다, 87, 194
카타, 49, 165
차나, 45, 153
카가, 55, 149
사카, 71, 153
사자, 54, 186
가다, 77, 191
가마, 91, 173
라가, 97, 170
차차, 80, 172
카다, 59, 146
다사, 53, 155
카라, 84, 149
차차, 52, 144
자자, 75, 197
사자, 57, 141
자차, 78, 170
차바, 71, 180
카자, 83, 189
사가, 64, 185
가사, 90, 180
마차, 90, 156
라파, 64, 192
하타, 89, 174
사나, 49, 192
아하, 75, 144
아하, 59, 145
라가, 89, 145
차카, 84, 155
라가, 97, 190
다차, 99, 180
다라, 73, 169
타파, 71, 179
사카, 49, 185
아사, 97, 142
바파, 48, 198
다자, 55, 188
차아, 50, 144
바마, 83, 150
아타, 85, 169
타파, 65, 191
아아, 95, 166
하마, 91, 160
라차, 58, 175
가타, 74, 147
마사, 95, 189
하자, 73, 168
가하, 76, 182
타가, 72, 184
나사, 82, 197
마아, 55, 148
사차, 95, 171
타파, 46, 188
아하, 42, 170
카파, 44, 158
나바, 73, 167
차차, 76, 180
다카, 74, 158
나타, 85, 157
카파, 68, 198
라하, 58, 193
바자, 90, 153
나타, 78, 176
마차, 44, 163
자나, 73, 185
바라, 85, 199
나자, 58, 159
카카, 57, 192
카아, 51, 180
아타, 99, 186
카사, 43, 177
자하, 83, 173
아파, 85, 174
타자, 43, 156
라하, 61, 160
가차, 62, 153
차자, 88, 147
마나, 63, 192
바마, 42, 195
카바, 79, 181
라나, 58, 199
바다, 51, 160
가카, 55, 180
타아, 57, 181
나타, 68, 180
자나, 56, 147
다다, 67, 183
파하, 62, 149
다가, 52, 172
다바, 77, 187
다가, 50, 186
가라, 60, 174
라바, 87, 145
아바, 92, 147
파자, 81, 141
아자, 41, 165
라타, 58, 144
라마, 70, 185
하아, 57, 197
차자, 40, 167
다하, 85, 188
라나, 77, 162
나자, 76, 168
차사, 97, 198
가아, 67, 161
다바, 60, 172
나아, 70, 180
라바, 74, 158
아아, 67, 164
다나, 76, 151
나마, 86, 140
아파, 63, 182
가자, 77, 160
사가, 40, 146
자아, 74, 157
다하, 40, 164
라가, 71, 179
바사, 53, 190
다자, 77, 188
나라, 60, 160
가아, 59, 195
아바, 87, 190
카가, 86, 144
차자, 41, 174
차자, 55, 171
바자, 44, 142
가바, 51, 145
아카, 53, 184
차사, 79, 167
아차, 94, 162
차차, 78, 196
타카, 83, 151
마타, 49, 175
하타, 69, 185
